Race Title,Geelong
Race,Race 1 Geelong
Number,Name,WinPrice,FixedPrice
17(11),Natural Force,TF,26.00
18(12),Desert Rush,TF,23.00
19(6),Supernormal,TF,13.00
20(10),Social Conquest,TF,31.00
21(2),Idalia's Dream,TF,51.00
22(5),Arterial,TF,23.00
23(21),Madison Point,TF,23.00
24(16),Odelia,TF,81.00
Race Title,Morphettville
Race,Race 1 Morphettville
Number,Name,WinPrice,FixedPrice
1(6),Urban Explorer,TF,10.00
2(7),Mystic Prince,TF,12.00
3(5),Sir Lopez,TF,6.00
5(2),Searaven,TF,13.00
6(8),Tunes,TF,10.00
7(4),Killarney Kid,TF,1.90
8(1),Romelo,TF,5.50
Race,Race 2 Morphettville
Number,Name,WinPrice,FixedPrice
1(2),Dancer's Kin,TF,5.00
2(4),Chevite,TF,15.00
3(6),More Than Exceed,TF,2.40
4(3),Thine Is The Power,TF,2.00
6(5),Serious Spender,TF,67.00
Race,Race 3 Morphettville
Number,Name,WinPrice,FixedPrice
1(2),Kellstorm,TF,2.60
2(5),Little Akie,TF,14.00
3(1),Cinnamon Carter,TF,6.00
4(4),Dance Of Heroes,TF,8.00
5(3),Igitur,TF,12.00
6(6),Super Swoop,TF,3.50
7(7),Ayers Rock,TF,8.00
Race,Race 4 Morphettville
Number,Name,WinPrice,FixedPrice
1(7),All Carisma,TF,26.00
2(5),Nodoubtaboutit,TF,6.00
3(8),Port Vale,TF,7.00
4(4),Akkacan,TF,8.00
6(6),Midnight Storm,TF,6.00
7(9),Thompson's Reward,TF,4.00
8(2),Debt Collector,TF,4.40
9(1),Extreme Thrill,TF,11.00
10(3),With Hope,TF,23.00
Race,Race 5 Morphettville
Number,Name,WinPrice,FixedPrice
1(4),Dr Dapper,TF,21.00
2(3),Savatag,TF,16.00
3(1),Extreme Witness,TF,6.00
4(8),Holy Juan,TF,41.00
5(7),Wasabi Bob,TF,7.50
6(9),Aagas,TF,9.00
7(5),Zanahary,TF,7.50
8(2),Minoan Spirit,TF,7.00
9(6),Canny Move,TF,16.00
12(13),Hell On Earth,TF,10.00
13(5),Rothmoore,TF,10.00
14(7),A Little Chunky,TF,7.50
15(9),Just A Gigolo,TF,19.00
Race,Race 6 Morphettville
Number,Name,WinPrice,FixedPrice
1(11),He's A Moral,TF,6.00
2(7),Lucky Fish,TF,5.50
3(6),Oamaru Owl,TF,14.00
4(8),Soul Fire,TF,23.00
5(9),Bellomo,TF,19.00
6(2),Diapason,TF,5.00
7(5),Aurelius Hero,TF,14.00
8(3),Its Time For Magic,TF,6.00
10(1),Arties Dreamwinner,TF,3.80
11(4),Mysticano,TF,19.00
Race,Race 7 Morphettville
Number,Name,WinPrice,FixedPrice
1(9),Dollar For Dollar,TF,4.20
2(5),Steel Frost,TF,3.60
3(2),Inn Keeper,TF,2.50
4(3),Exalted Adam,TF,7.00
5(8),Tatoosh,TF,19.00
6(1),Mubakkir,TF,26.00
7(4),Hard Empire,TF,14.00
8(6),Silent Warrior,TF,81.00
9(7),Pretty Punk,TF,34.00
Race,Race 8 Morphettville
Number,Name,WinPrice,FixedPrice
1(7),Air Guitar,TF,4.20
2(20),Moghul Empire,TF,7.00
3(13),Rupture,TF,21.00
4(14),Pamela Joy,TF,17.00
5(8),Bris Vegas,TF,8.00
6(1),Awake In Grinzing,TF,17.00
7(6),Bajan,TF,7.00
8(12),Miss Coolangatta,TF,6.50
9(18),Bolt I Am,TF,19.00
10(5),Racing Rory,TF,41.00
11(15),Hilumiere,TF,41.00
12(19),To Be Vain,TF,34.00
14(10),Single Barrel,TF,61.00
15(3),Cool Maverick,TF,41.00
17(4),Wise And Happy,TF,26.00
18(17),Flop,TF,26.00
19(2),Our Witness,TF,21.00
20(11),Mintrice,TF,71.00
21(9),The Other Guy,TF,41.00
Race Title,Belmont
Race,Race 1 Belmont
Number,Name,WinPrice,FixedPrice
1(6),Fire And Rain,TF,5.00
2(5),Agent Pippa,TF,2.40
3(3),Kakadu,TF,13.00
4(1),Metro Boy,TF,10.00
5(2),Easington,TF,151.00
6(7),Seven Castles,TF,7.00
7(4),Flirtini,TF,3.20
Race,Race 2 Belmont
Number,Name,WinPrice,FixedPrice
1(12),Patrocity,TF,1.90
2(8),Golden Trigger,TF,34.00
3(4),Geographe Bay,TF,9.00
4(11),Chief Cochise,TF,7.00
5(3),Ouqba Ted,TF,8.00
6(10),Orabreeze,TF,21.00
7(7),Kelly's Secret,TF,4.80
8(2),Bombadier Bruce,TF,71.00
9(5),Shivers Of Joy,TF,61.00
10(6),Bellflower,TF,31.00
11(9),Martarello,TF,23.00
12(1),Maurelle,TF,151.00
Race,Race 3 Belmont
Number,Name,WinPrice,FixedPrice
1(2),Sense Of Power,TF,3.40
2(1),Taxadermy,TF,6.00
3(4),Rojo Calor,TF,15.00
4(8),Freo,TF,3.40
5(7),Rose's Shadow,TF,26.00
6(9),Time To Hunt,TF,9.00
7(6),Everymile A Memory,TF,3.80
8(3),Mr Pago,TF,14.00
9(5),Skilled Hunter,TF,81.00
Race,Race 4 Belmont
Number,Name,WinPrice,FixedPrice
1(3),Fancy Fox,TF,31.00
2(9),Big Caroline,TF,6.00
3(2),Pym's Royale,TF,2.70
4(5),Nashville Cat,TF,8.00
5(4),Guns Of Navarone,TF,14.00
6(7),Vermont Lady,TF,6.50
7(8),Patapus,TF,4.60
8(1),Zefiro,TF,101.00
9(6),Bachelors Prospect,TF,17.00
10(10),Wild Front,TF,17.00
Race,Race 5 Belmont
Number,Name,WinPrice,FixedPrice
1(6),Kensington Abbey,TF,9.00
2(3),Beg To Differ,TF,6.50
3(7),Juicing Carrots,TF,6.50
4(2),Inject The Venom,TF,26.00
5(9),Macavity,TF,35.00
6(5),Gold Artisan,TF,9.00
7(1),Grand Cadeau,TF,7.00
8(4),I'm A Love Man,TF,31.00
9(10),Jazari,TF,5.50
10(8),Oti Thelis,TF,81.00
11(11),Truly Belong,TF,3.20
Race,Race 6 Belmont
Number,Name,WinPrice,FixedPrice
1(4),By Decree,TF,8.50
2(5),Get Over It,TF,8.00
3(3),Great Again,TF,2.75
4(6),Push To Pass,TF,41.00
5(13),Red Paddy,TF,71.00
6(7),Senorita Bonita,TF,23.00
7(9),Conseated,TF,17.00
8(8),Count Tomoz Off,TF,6.00
9(10),Diablerie,TF,34.00
10(2),Top Of The Class,TF,4.60
11(11),Charlestown,TF,71.00
12(1),Jeraft,TF,11.00
Race,Race 7 Belmont
Number,Name,WinPrice,FixedPrice
1(8),Profit Street,TF,14.00
2(7),Caipirinha,TF,13.00
3(4),Mr Motown,TF,13.00
4(10),Dream Lifter,TF,51.00
5(6),Rebel King,TF,7.00
6(2),War God,TF,31.00
7(1),Yeah Dardy,TF,5.00
8(5),Flying Time,TF,9.00
9(9),Oliver's Travels,TF,3.80
10(3),Super Maxi,TF,4.00
Race,Race 8 Belmont
Number,Name,WinPrice,FixedPrice
1(8),The Celt,TF,10.00
2(12),Epic Grey,TF,3.60
3(2),Snow Lord,TF,15.00
4(6),Woolibar,TF,51.00
5(1),I Am Incredible,TF,8.00
6(10),Red Publisher,TF,31.00
7(7),Pretentious Chant,TF,15.00
8(4),Undisclosed,TF,6.50
9(3),Recoiled,TF,26.00
10(5),Dia De La Raza,TF,5.00
11(9),Khan,TF,10.00
12(11),Sharpbob,TF,11.00
Race Title,Broome
Race,Race 7 Broome
Number,Name,WinPrice,FixedPrice
1(8),Gloryland,2.25,1.29
2(1),Diamond Tonique,2.70,1.33
3(4),Someday One Day,6.00,1.83
4(5),Confusing,51.00,8.50
5(7),I'm A Bluebagger,8.00,2.20
6(6),Pretty Blonde,26.00,4.50
7(2),Speed 'N' Reef,23.00,4.33
8(3),Tell Me This,14.00,3.25
9(9),The Wild Side,41.00,7.00
Race Title,Taree
Race,Race 1 Taree
Number,Name,WinPrice,FixedPrice
1(4),Biggles Would Go,5.00,2.10
2(14),Commissioner,11.00,3.25
3(7),Jest Magic,51.00,11.00
5(12),Nicoff Bob,126.00,26.00
6(9),Quick Nick,4.40,1.91
7(16),Rambler Rebel,9.00,3.10
8(8),Set To Sizzle,15.00,4.00
9(17),Shamus Star,11.00,3.25
11(3),Thorn Brook,12.00,3.40
12(2),Good Excuse,26.00,6.00
13(13),Peachies Dream,19.00,4.50
14(1),Unguarded,3.20,1.67
15(6),Complete Faith,51.00,11.00
16(10),Lucky For Some,101.00,23.00
17(5),Valley's Sister,101.00,23.00
18(11),Fair Dinkum,51.00,11.00
Race,Race 2 Taree
Number,Name,WinPrice,FixedPrice
1(6),Acraman,4.80,2.10
2(10),Caro Cavallo,8.00,3.00
3(1),Dad's Army,26.00,6.50
4(12),Justaway,16.00,4.00
5(13),King Of Monaco,26.00,6.50
6(4),Ted's Dream,3.20,1.67
7(7),Ultimate Eagle,34.00,8.50
8(17),Dogoda Fury,26.00,6.50
9(15),Karlu Dreaming,21.00,5.00
10(9),Let Me Guess,11.00,3.40
11(14),Vagabonds Rap,13.00,3.75
12(18),Herzegovina,9.00,3.20
13(16),Lose The Snip,9.00,3.20
14(2),My Money Tree,67.00,17.00
15(5),Chunky Charger,51.00,12.00
16(8),Backhouse Frilly,16.00,4.00
17(11),Pinnacle Power,51.00,12.00
18(3),Poyfection,101.00,19.00
Race,Race 3 Taree
Number,Name,WinPrice,FixedPrice
1(4),Tinker Dan,12.00,3.40
3(1),Dixie Lad,17.00,4.00
4(12),Eight Below,10.00,3.20
5(2),Editors,5.50,2.10
6(10),Phrases,51.00,10.00
7(5),Sacred Edge,2.70,1.50
8(11),New Endeavour,7.50,2.50
9(8),Triple Choice,4.80,1.91
10(6),Northern Charm,21.00,4.50
11(7),Spinning Gold,17.00,4.00
12(3),Mosgiel Lucy,26.00,5.50
Race,Race 4 Taree
Number,Name,WinPrice,FixedPrice
1(3),Lady Wahoo,6.00,2.25
2(1),Selective,6.00,2.25
3(6),Fearless Girl,5.50,2.20
4(8),The Kiss,5.00,2.00
5(4),Fleeting Princess,11.00,3.25
6(12),Lucciola Belle,9.50,3.20
7(5),Lady Veronique,26.00,6.00
8(2),Mahervellous,41.00,9.50
9(7),Dame Kiri,4.20,1.83
10(11),Khorloo,21.00,5.00
11(9),Saint Helena,67.00,15.00
12(10),All About Magic,34.00,8.50
Race,Race 5 Taree
Number,Name,WinPrice,FixedPrice
1(11),So Bizarre,3.30,1.67
2(6),Tesarc,21.00,4.50
3(14),Pretentious Man,6.50,2.25
4(8),Magic Name,10.00,3.20
5(9),Painted Wall,4.40,1.83
6(3),Soul Revival,21.00,4.50
7(1),San Marco,10.00,3.20
8(2),Titus,15.00,3.75
10(7),Crystal Kingdom,15.00,3.75
11(4),Streets Of Dubai,101.00,21.00
13(10),Scatter Blast,14.00,3.50
14(5),Arrogant Boy,51.00,10.00
15(12),Natural Predator,51.00,10.00
16(16),The Free World,101.00,21.00
17(13),Prince High,61.00,12.00
Race,Race 6 Taree
Number,Name,WinPrice,FixedPrice
1(4),Patriot,7.00,2.75
2(10),Tabrobane,12.00,3.50
3(1),Cervinia,26.00,7.00
4(11),Social Pirate,17.00,4.33
5(9),Buddy's Ode,11.00,3.40
6(2),Imperial Eagle,3.20,1.73
7(14),Ondo Pasa,6.00,2.38
8(13),She's Magical,8.50,3.10
9(16),Better Not Fly,15.00,4.00
10(12),Harnova,41.00,10.00
11(6),Stop The Fight,15.00,4.00
12(8),Magic Arli,21.00,5.00
13(7),Toast,21.00,5.00
14(5),Silent Dream,26.00,7.00
15(3),Crossing Guard,17.00,4.33
16(15),Manhattan Road,51.00,11.00
Race,Race 7 Taree
Number,Name,WinPrice,FixedPrice
1(7),Olympic Academy,10.00,3.25
2(13),Cogliere,8.50,3.10
3(8),Our Gravano,5.50,2.25
4(2),Loving Home,101.00,23.00
5(12),All But Gone,8.00,3.10
6(11),Invicta,16.00,4.33
7(9),Dubaiinstyle,6.00,2.38
8(14),Shalmaneser,12.00,3.50
9(10),Lady Evelyn,4.80,2.10
10(3),Allzin,17.00,4.33
11(6),Bold And Groovy,26.00,7.00
12(5),Don Pellegrino,26.00,7.00
13(1),Red Dubawi,13.00,3.75
14(4),Chalcedony,51.00,12.00
Race,Race 8 Taree
Number,Name,WinPrice,FixedPrice
1(2),Plateau Gold,11.00,3.40
2(10),Epic Dan,9.00,3.20
3(3),Salerno,16.00,4.00
4(9),Art D'amour,5.00,2.10
5(5),Bitburg,6.00,2.25
6(8),I'm A Jet,15.00,4.00
8(4),Trust Me,4.80,2.10
9(11),Invincible Gangsta,7.50,2.88
10(12),Johnny Roo Boy,8.00,3.00
11(7),Art's Got A Gun,26.00,6.50
12(1),Desirable Miss,21.00,5.00
13(6),Grammar School,34.00,8.50
Race Title,Ballarat
Race,Race 4 Ballarat
Number,Name,WinPrice,FixedPrice
1(6),King Of Dudes,10.00,3.50
2(2),Hornets' Nest,6.00,3.00
3(1),Valediction,11.00,3.75
4(3),Bit Of A Lad,2.00,1.44
5(4),Blood And Sand,6.00,3.00
6(5),Romelo,4.00,2.20
Race,Race 6 Ballarat
Number,Name,WinPrice,FixedPrice
1(10),Wells,2.70,1.50
2(6),Sea King,4.60,1.91
3(8),I'll'ava'alf,7.00,2.38
4(9),Excellent Rhythm,11.00,3.25
5(4),Monarch Chimes,5.50,2.10
6(2),Gold A Plenty,26.00,5.50
7(11),Spying On You,26.00,5.50
8(3),Abebe,34.00,8.00
9(1),John Monash,11.00,3.25
10(5),Undergroundfighter,31.00,7.00
11(7),Surging Wave,17.00,4.00
12(12),Entirely Perfect,67.00,13.00
