Race Title,Geelong
Race,Race 1 Geelong
Number,Name,WinPrice,FixedPrice
2(8),Typhoon Bonny,3.20,1.80
3(6),Zizumba,51.00,13.00
4(7),Nicco's Lass,17.00,4.50
5(11),Outsmartem,13.00,4.00
6(14),Akamin,7.50,3.00
7(9),Fear Factor,13.00,4.00
8(15),Stoddart,6.50,2.62
9(5),Royal Duke,23.00,6.00
10(3),God I'm Hot,14.00,4.00
12(10),I'll Take Money,17.00,4.50
13(1),Miss Gigi,8.50,3.20
14(12),No Qualm,13.00,4.00
15(4),Double Pluggas,15.00,4.33
Race,Race 6 Taree
Number,Name,WinPrice,FixedPrice
1(4),Bachelor,12.00,3.25
2(6),Allez Rev,9.00,2.75
3(10),Kirk Ella,7.00,2.25
4(7),Foxy's Foxinator,2.30,1.33
6(1),Impulsive Maneuver,4.00,1.67
8(13),She Clangs,26.00,5.50
9(2),Lots Of Diamonds,9.00,2.75
10(3),Manning Treasure,19.00,4.00
11(11),Dead Reckoning,41.00,8.50
12(8),Serious Moonlight,26.00,5.50
13(5),Luckier,101.00,19.00
Race,Race 7 Taree
Number,Name,WinPrice,FixedPrice
1(4),Powerline,5.50,2.25
2(13),Alot Like Home,3.80,1.83
3(2),Backhouse Billy,34.00,9.00
4(1),Carluca,5.00,2.20
5(8),Miami Dade,19.00,5.00
6(6),Profiler,13.00,4.00
7(11),Marksfield,9.50,3.25
8(10),Abohar,26.00,7.00
9(5),Blinkin Artie,13.00,4.00
10(3),Marathon,6.50,2.62
11(7),The Iron Maiden,26.00,7.00
13(14),Wongur,19.00,5.00
14(9),Florever Special,34.00,9.00
Race,Race 8 Taree
Number,Name,WinPrice,FixedPrice
2(7),Lethal Dream,16.00,4.00
3(13),I Am Baymax,101.00,21.00
4(1),Sniponet,7.00,2.50
5(8),Kingaroy,51.00,11.00
6(10),African Guy,3.50,1.73
7(9),Ambitious Prince,8.00,2.88
8(17),Caper,6.00,2.25
9(4),Saint Denis,8.00,2.88
11(3),Casiraghi,201.00,34.00
12(12),Falsified,26.00,6.00
15(5),Guided,9.50,3.20
16(6),Scatter Blast,7.00,2.50
17(2),Metre Eater,34.00,8.50
18(11),Dew Drop,34.00,8.50
Race Title,Toowoomba
Race,Race 1 Toowoomba
Number,Name,WinPrice,FixedPrice
1(3),Heat Shield,4.20,2.20
2(1),Amthaal,2.10,1.50
3(6),The Barracuda,4.60,2.25
4(5),Hessian,7.50,3.20
5(7),Errol,6.50,3.10
6(2),Alfie Junior,23.00,9.00
7(4),Valtari,81.00,26.00
Race,Race 2 Toowoomba
Number,Name,WinPrice,FixedPrice
1(7),Faolan,1.80,1.30
2(3),Arazona,3.50,1.80
3(2),Oakfield Monarch,9.00,3.20
4(5),On A High,4.80,2.10
6(4),Coolmunda,26.00,9.00
7(1),Gouldian,26.00,9.00
Race,Race 3 Toowoomba
Number,Name,WinPrice,FixedPrice
1(10),Benicstress,101.00,10.00
3(12),In Seattle,51.00,5.00
4(13),Kimhorsedashian,3.20,1.18
5(6),The Big Eater,4.60,1.30
6(8),Zafox,1.55,1.060
7(7),In Your Element,51.00,5.00
8(1),Lillanliv,101.00,10.00
9(9),Nancy Bird,51.00,5.00
10(4),The Trump Train,51.00,5.00
Race,Race 4 Toowoomba
Number,Name,WinPrice,FixedPrice
1(5),Accumulated,4.60,1.73
2(7),Cyclone Kaycee,6.50,2.00
3(3),De Novo,61.00,10.00
4(6),Finnferno,26.00,5.00
5(1),Heart Vandelay,2.80,1.40
6(8),Lucky Fix,51.00,9.00
7(9),The Investigator,15.00,3.50
8(4),Trooper Kelly,3.20,1.50
9(2),Uno Tops,9.50,2.62
Race,Race 5 Toowoomba
Number,Name,WinPrice,FixedPrice
1(14),All Shiraz,6.50,2.38
2(4),Baby Boo,7.00,2.50
3(9),Brittex,14.00,3.75
4(11),General's Bride,17.00,4.33
5(13),Global Factor,4.20,1.83
7(7),Hallside Fandango,12.00,3.40
8(2),Miss Koko,51.00,11.00
9(10),Our Lil' Hussey,6.50,2.38
10(12),Shebrings Voice,81.00,19.00
11(8),Short 'N' Regal,16.00,4.00
12(3),Wearetenfortyeight,5.00,2.10
13(1),Coupe De Ville,11.00,3.25
Race,Race 6 Toowoomba
Number,Name,WinPrice,FixedPrice
1(6),Oggie,34.00,4.50
2(3),Palace Tycoon,6.00,1.80
4(9),Benico's Prince,5.00,1.67
5(10),Last Armageddon,2.10,1.20
6(7),Waltham,34.00,4.50
7(2),General Cos,26.00,3.50
9(5),Shadow Affair,26.00,3.50
10(1),Mr Chow,3.20,1.36
Race,Race 7 Toowoomba
Number,Name,WinPrice,FixedPrice
2(6),Proof Perfect,1.35,1.060
3(8),Mister Spinks,4.25,1.36
5(2),Gold Monarch,17.00,3.20
